Outfall Structure,Outfall Location,Tide Gate #,Waterway Reach,Plant,Open date/time,Close date/time,Gate Open Period
DS-M61A,Fulton St & Canal St (W),TG2,NBCR Lower (NSC Confluence),Stickney,5/14/2016 1:55,5/14/2016 1:56,:00:01:28
DS-M21,Western Ave (S),TG2,CSSC Upper (SWRP),Stickney,5/14/2016 1:54,5/14/2016 2:00,:00:05:56
DS-M21,Western Ave (S),TG1,CSSC Upper (SWRP),Stickney,5/13/2016 22:27,5/14/2016 2:00,:03:33:12
DS-M66,Blackhawk St (W),TG1,NBCR Lower (NSC Confluence),Stickney,5/13/2016 22:09,5/14/2016 2:02,:03:53:04
DS-M21,Western Ave (S),TG2,CSSC Upper (SWRP),Stickney,5/14/2016 2:09,5/14/2016 2:10,:00:01:24
DS-M21,Western Ave (S),TG1,CSSC Upper (SWRP),Stickney,5/14/2016 2:08,5/14/2016 2:11,:00:02:36
TG-I12,Albany Ave (N),TG1,Collateral Channel,Stickney,5/14/2016 2:13,5/14/2016 2:14,:00:00:32
DS-M21,Western Ave (S),TG1,CSSC Upper (SWRP),Stickney,5/14/2016 2:13,5/14/2016 2:14,:00:01:08
DS-M79,Logan Blvd (W),TG3,NBCR Lower (NSC Confluence),Stickney,5/13/2016 22:47,5/14/2016 2:17,:03:30:00
DS-D07,South Devon Ave. & E. River Road (E),TG1,DesPlaines Upper,Stickney,5/13/2016 22:12,5/14/2016 2:22,:04:10:12
DS-M21,Western Ave (S),TG2,CSSC Upper (SWRP),Stickney,5/14/2016 2:22,5/14/2016 2:24,:00:02:08
DS-M21,Western Ave (S),TG1,CSSC Upper (SWRP),Stickney,5/14/2016 2:22,5/14/2016 2:25,:00:03:16
DS-M08,Natchez Ave ext. (S),TG1,CSSC Lower (SWRP),Stickney,5/13/2016 22:22,5/14/2016 2:34,:04:11:16
DS-M15,Kenton Ave (Kostner Ave Ext.) (N),TG2,CSSC Upper (SWRP),Stickney,5/13/2016 22:06,5/14/2016 3:17,:05:10:32
DS-M03,67th St ext. (E),TG1,CSSC Lower (SWRP),Stickney,5/13/2016 22:08,5/14/2016 3:18,:05:10:08
DS-D32,Maybrook Dr - C&NW RR (S),TG1,DesPlaines Middle,Stickney,5/13/2016 22:21,5/14/2016 3:47,:05:26:08
"DS-D39,42,46",South of Brookfield Ave (Southwest wing wall of the bridge) (W),TG2,Salt Cr,Stickney,5/13/2016 21:51,5/14/2016 5:10,:07:19:32
"DS-D47,50,51",Southview Ave and Custer (W),TG2,Salt Cr,Stickney,5/13/2016 21:01,5/14/2016 6:40,:09:38:16
"DS-D47,50,51 & DS-13A-1",Konrad Ave and Patricia Dr. (S),TG3,Salt Cr,Stickney,5/12/2016 2:07,5/14/2016 8:09,:06:02:16
DS-D43,Near Burling Rd (Library),TG1,DesPlaines Lower,Stickney,5/13/2016 21:27,5/14/2016 12:41,:15:14:32
DS-D43,Near Burling Rd (Library),TG1,DesPlaines Lower,Stickney,5/14/2016 12:42,5/14/2016 13:03,:00:21:12
DS-D43,Near Burling Rd (Library),TG1,DesPlaines Lower,Stickney,5/14/2016 13:04,5/14/2016 13:14,:00:10:56
DS-D43,Near Burling Rd (Library),TG1,DesPlaines Lower,Stickney,5/14/2016 13:15,5/14/2016 13:27,:00:12:28
DS-D43,Near Burling Rd (Library),TG1,DesPlaines Lower,Stickney,5/14/2016 13:28,5/14/2016 13:35,:00:07:00
DS-D43,Near Burling Rd (Library),TG1,DesPlaines Lower,Stickney,5/14/2016 13:36,5/14/2016 13:38,:00:02:20
DS-D43,Near Burling Rd (Library),TG1,DesPlaines Lower,Stickney,5/14/2016 13:39,5/14/2016 13:48,:00:09:16
DS-D43,Near Burling Rd (Library),TG1,DesPlaines Lower,Stickney,5/14/2016 13:49,5/14/2016 13:53,:00:04:28
DS-D43,Near Burling Rd (Library),TG1,DesPlaines Lower,Stickney,5/14/2016 13:55,5/14/2016 14:02,:00:06:32
DS-D43,Near Burling Rd (Library),TG1,DesPlaines Lower,Stickney,5/14/2016 14:02,5/14/2016 14:03,:00:01:00
DS-D43,Near Burling Rd (Library),TG1,DesPlaines Lower,Stickney,5/14/2016 14:05,5/14/2016 14:08,:00:02:36
DS-D43,Near Burling Rd (Library),TG1,DesPlaines Lower,Stickney,5/14/2016 14:09,5/14/2016 14:12,:00:02:40
DS-D43,Near Burling Rd (Library),TG1,DesPlaines Lower,Stickney,5/14/2016 14:15,5/14/2016 14:17,:00:01:52
DS-D43,Near Burling Rd (Library),TG1,DesPlaines Lower,Stickney,5/14/2016 14:20,5/14/2016 14:21,:00:01:28
DS-D43,Near Burling Rd (Library),TG1,DesPlaines Lower,Stickney,5/14/2016 14:22,5/14/2016 14:23,:00:01:16
DS-D43,Near Burling Rd (Library),TG1,DesPlaines Lower,Stickney,5/14/2016 14:34,5/14/2016 14:35,:00:01:12
DS-D43,Near Burling Rd (Library),TG1,DesPlaines Lower,Stickney,5/14/2016 14:37,5/14/2016 14:38,:00:01:12
DS-D43,Near Burling Rd (Library),TG1,DesPlaines Lower,Stickney,5/14/2016 14:40,5/14/2016 14:41,:00:01:16
DS-D43,Near Burling Rd (Library),TG1,DesPlaines Lower,Stickney,5/14/2016 14:43,5/14/2016 14:44,:00:00:56
DS-D43,Near Burling Rd (Library),TG1,DesPlaines Lower,Stickney,5/14/2016 14:48,5/14/2016 14:50,:00:02:06
DS-D43,Near Burling Rd (Library),TG1,DesPlaines Lower,Stickney,5/14/2016 14:54,5/14/2016 14:56,:00:01:24
DS-D43,Near Burling Rd (Library),TG1,DesPlaines Lower,Stickney,5/14/2016 15:15,5/14/2016 15:16,:00:01:04
DS-D43,Near Burling Rd (Library),TG1,DesPlaines Lower,Stickney,5/14/2016 15:29,5/14/2016 15:30,:00:00:52
DS-D41,Ogden Ave (Approx. 50' north of the bridge) (E),TG1,DesPlaines Lower,Stickney,5/13/2016 21:14,5/14/2016 15:59,:18:45:36
"DS-D44,45",Blackhawk Rd ext. (E),TG1,DesPlaines Lower,Stickney,5/13/2016 21:53,5/14/2016 18:03,:20:10:16
"DS-D44,45",Olmstead Rd (N),TG2,DesPlaines Lower,Stickney,5/13/2016 21:53,5/14/2016 23:09,:01:16:16
"DS-M27,DS-M28,& DS-M29 (RAPS)",Racine Ave P.S. (S),All,SF SB Chicago R,Pumping Station Racine Avenue,5/13/2016 20:15,5/15/2016 8:20,:12:05:00
TG-I28 & I29,Taylor St (W),TG1,SB Chicago R,Stickney,5/14/2016 22:37,5/25/2016 17:38,:19:01:34
DS-M51,Harrison St (W),TG1,SB Chicago R,Stickney,5/25/2016 17:58,5/25/2016 18:05,:00:06:36
DS-M83,Melrose St & North Rockwell St (W),TG1,NBCR Lower (NSC Confluence),Stickney,5/25/2016 17:58,5/25/2016 18:10,:00:12:08
