Outfall Structure,Outfall Location,Tide Gate #,Waterway Reach,Plant,Open date/time,Close date/time,Gate Open Period
DS-D34-AI,Westchester P.S.(N),All,Addison Cr,Pumping Station Westchester,8/20/2016 8:40:00 AM,8/20/2016 11:30:00 AM,:02:50:00
DS-D34-AI,Westchester P.S.(N),All,Addison Cr,Pumping Station Westchester,8/18/2016 7:00:00 AM,8/18/2016 8:05:00 AM,:01:05:00
"DS-M27,DS-M28,& DS-M29 (RAPS)",Racine Ave P.S. (S),All,SF SB Chicago R,Pumping Station Racine Avenue,8/20/2016 9:30:00 AM,8/20/2016 8:25:00 PM,:10:55:00
DS-M90 & DS-M91 (NBPS),North Branch P.S. (E),All,NBCR Lower (NSC Confluence),Pumping Station North Branch,8/20/2016 9:14:00 AM,8/20/2016 3:00:00 PM,:05:46:00
DS-M90 & DS-M91 (NBPS),North Branch P.S. (E),All,NBCR Lower (NSC Confluence),Pumping Station North Branch,8/13/2016 12:32:00 AM,8/13/2016 2:31:00 AM,:01:59:00
