disasterNumber,ihProgramDeclared,iaProgramDeclared,paProgramDeclared,hmProgramDeclared,state,declarationDate,disasterType,incidentType,title,incidentBeginDate,incidentEndDate,disasterCloseOutDate,declaredCountyArea,placeCode,hash,lastRefresh
1771,1,1,1,1,IL,2008-06-24T18:00:00 +00:00,DR,Severe Storm(s),SEVERE STORMS AND FLOODING,2008-06-01T08:00:00 +00:00,2008-07-22T00:00:00 +00:00,,Rock Island (County),99161,c8d9e3c1da483f8f1c6a8ea012d7d532,2016-08-30T15:08:20 +00:00
1771,1,1,1,1,IL,2008-06-24T18:00:00 +00:00,DR,Severe Storm(s),SEVERE STORMS AND FLOODING,2008-06-01T08:00:00 +00:00,2008-07-22T00:00:00 +00:00,,Cumberland (County),99035,005e72ee5df232ea21088e846cdbad61,2016-08-30T15:08:20 +00:00
1771,1,1,1,1,IL,2008-06-24T18:00:00 +00:00,DR,Severe Storm(s),SEVERE STORMS AND FLOODING,2008-06-01T08:00:00 +00:00,2008-07-22T00:00:00 +00:00,,Henderson (County),99071,569282ced19e369883eb06232448ef5a,2016-08-30T15:08:20 +00:00
1800,0,0,1,1,IL,2008-10-03T18:30:00 +00:00,DR,Severe Storm(s),SEVERE STORMS AND FLOODING,2008-09-13T08:00:00 +00:00,2008-10-05T00:00:00 +00:00,,Cass (County),99017,74f66f447d276336ccb56b95fd7961f4,2016-08-30T15:08:20 +00:00
1800,1,1,1,1,IL,2008-10-03T18:30:00 +00:00,DR,Severe Storm(s),SEVERE STORMS AND FLOODING,2008-09-13T08:00:00 +00:00,2008-10-05T00:00:00 +00:00,,Grundy (County),99063,d5d986da62b8c8f88309fe5037daa79c,2016-08-30T15:08:20 +00:00
1800,0,0,1,1,IL,2008-10-03T18:30:00 +00:00,DR,Severe Storm(s),SEVERE STORMS AND FLOODING,2008-09-13T08:00:00 +00:00,2008-10-05T00:00:00 +00:00,,Montgomery (County),99135,5ff1aca44f20b5bc11b49d8fdf61d4f6,2016-08-30T15:08:20 +00:00
1826,0,0,1,1,IL,2009-03-02T19:25:00 +00:00,DR,Severe Storm(s),SEVERE WINTER STORM,2009-01-26T00:00:00 +00:00,2009-01-28T00:00:00 +00:00,2016-08-08T23:59:00 +00:00,Gallatin (County),99059,98ac09244dc56cbf43c4a7c698f8515b,2016-08-30T15:08:20 +00:00
1826,0,0,1,1,IL,2009-03-02T19:25:00 +00:00,DR,Severe Storm(s),SEVERE WINTER STORM,2009-01-26T00:00:00 +00:00,2009-01-28T00:00:00 +00:00,2016-08-08T23:59:00 +00:00,Pulaski (County),99153,419751e0a61f33253f9b8595975971fc,2016-08-30T15:08:20 +00:00
1850,0,0,1,1,IL,2009-07-02T17:30:00 +00:00,DR,Severe Storm(s),"SEVERE STORMS, FLOODING, AND TORNADOES",2009-05-08T11:30:00 +00:00,2009-05-09T00:00:00 +00:00,,Hamilton (County),99065,aea2028d6656e224e1c469057d7d489b,2016-08-30T15:08:20 +00:00
1935,1,0,0,1,IL,2010-08-19T14:00:00 +00:00,DR,Severe Storm(s),SEVERE STORMS AND FLOODING,2010-07-19T14:36:00 +00:00,2010-08-07T11:00:00 +00:00,,Cook (County),99031,b9d2c6945b4f1dfcb6ced3f51e4ae50b,2016-08-30T15:08:20 +00:00
1935,0,0,1,1,IL,2010-08-19T14:00:00 +00:00,DR,Severe Storm(s),SEVERE STORMS AND FLOODING,2010-07-19T14:36:00 +00:00,2010-08-07T11:00:00 +00:00,,Pike (County),99149,0acbcecda43288d6fc40f44499015711,2016-08-30T15:08:20 +00:00
1729,0,0,1,1,IL,2007-09-25T20:40:00 +00:00,DR,Severe Storm(s),SEVERE STORMS AND FLOODING,2007-08-20T15:30:00 +00:00,2007-08-31T00:00:00 +00:00,2015-12-07T00:00:00 +00:00,Knox (County),99095,4fb14d6321f271e51418c5e3b508491f,2016-08-30T15:08:21 +00:00
1771,0,0,1,1,IL,2008-06-24T18:00:00 +00:00,DR,Severe Storm(s),SEVERE STORMS AND FLOODING,2008-06-01T08:00:00 +00:00,2008-07-22T00:00:00 +00:00,,Scott (County),99171,63f7357dd704992df66d5a42e09aab1d,2016-08-30T15:08:21 +00:00
1771,1,1,1,1,IL,2008-06-24T18:00:00 +00:00,DR,Severe Storm(s),SEVERE STORMS AND FLOODING,2008-06-01T08:00:00 +00:00,2008-07-22T00:00:00 +00:00,,Douglas (County),99041,a42d3300d9015805fd4947b6d6f9641c,2016-08-30T15:08:21 +00:00
1771,1,1,1,1,IL,2008-06-24T18:00:00 +00:00,DR,Severe Storm(s),SEVERE STORMS AND FLOODING,2008-06-01T08:00:00 +00:00,2008-07-22T00:00:00 +00:00,,Jasper (County),99079,3e5fbe05c4983eba589495be4e4588b4,2016-08-30T15:08:21 +00:00
1771,1,1,1,1,IL,2008-06-24T18:00:00 +00:00,DR,Severe Storm(s),SEVERE STORMS AND FLOODING,2008-06-01T08:00:00 +00:00,2008-07-22T00:00:00 +00:00,,Mercer (County),99131,aac49ba7f7d69be06e342949e7f63fd2,2016-08-30T15:08:21 +00:00
1771,1,1,1,1,IL,2008-06-24T18:00:00 +00:00,DR,Severe Storm(s),SEVERE STORMS AND FLOODING,2008-06-01T08:00:00 +00:00,2008-07-22T00:00:00 +00:00,,Calhoun (County),99013,da3b7d29f2d03fc78c2dbe903f498515,2016-08-30T15:08:21 +00:00
