disasterNumber,ihProgramDeclared,iaProgramDeclared,paProgramDeclared,hmProgramDeclared,state,declarationDate,disasterType,incidentType,title,incidentBeginDate,incidentEndDate,disasterCloseOutDate,declaredCountyArea,placeCode,hash,lastRefresh
1991,0,0,1,1,IL,2011-06-07T05:31:00 +00:00,DR,Severe Storm(s),SEVERE STORMS AND FLOODING,2011-04-19T15:58:00 +00:00,2011-06-14T00:00:00 +00:00,,Wayne (County),99191,59edd87ee5a5e5f158832f58745af320,2016-08-30T15:08:24 +00:00
4116,1,0,1,1,IL,2013-05-10T18:15:00 +00:00,DR,Flood,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",2013-04-16T09:37:00 +00:00,2013-05-05T00:00:00 +00:00,,Calhoun (County),99013,5a6dd517d78a0f097a39aa8b167ce133,2016-08-30T15:08:38 +00:00
4116,0,0,1,1,IL,2013-05-10T18:15:00 +00:00,DR,Flood,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",2013-04-16T09:37:00 +00:00,2013-05-05T00:00:00 +00:00,,Greene (County),99061,8c0cf9594030ad27839c54693c51081a,2016-08-30T15:08:38 +00:00
4116,1,0,1,1,IL,2013-05-10T18:15:00 +00:00,DR,Flood,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",2013-04-16T09:37:00 +00:00,2013-05-05T00:00:00 +00:00,,Crawford (County),99033,1cc0ae99fa4bf20ace65c6c802276ce3,2016-08-30T15:08:38 +00:00
4116,1,0,0,1,IL,2013-05-10T18:15:00 +00:00,DR,Flood,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",2013-04-16T09:37:00 +00:00,2013-05-05T00:00:00 +00:00,,Kane (County),99089,48effd67bf278abfaf1a43275da83a14,2016-08-30T15:08:38 +00:00
4116,0,0,1,1,IL,2013-05-10T18:15:00 +00:00,DR,Flood,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",2013-04-16T09:37:00 +00:00,2013-05-05T00:00:00 +00:00,,Lawrence (County),99101,7af20db7900f0ad741ff8b621f435485,2016-08-30T15:08:38 +00:00
4116,1,0,1,1,IL,2013-05-10T18:15:00 +00:00,DR,Flood,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",2013-04-16T09:37:00 +00:00,2013-05-05T00:00:00 +00:00,,McHenry (County),99111,5a217626d011613ae2bac553b4fb620c,2016-08-30T15:08:38 +00:00
4116,0,0,1,1,IL,2013-05-10T18:15:00 +00:00,DR,Flood,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",2013-04-16T09:37:00 +00:00,2013-05-05T00:00:00 +00:00,,Scott (County),99171,44307d41e336f52af181224aac00d55c,2016-08-30T15:08:38 +00:00
4116,1,0,1,1,IL,2013-05-10T18:15:00 +00:00,DR,Flood,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",2013-04-16T09:37:00 +00:00,2013-05-05T00:00:00 +00:00,,Peoria (County),99143,67e25c7cb71a4b78c5a91ccfbd41281f,2016-08-30T15:08:38 +00:00
4116,1,0,0,1,IL,2013-05-10T18:15:00 +00:00,DR,Flood,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",2013-04-16T09:37:00 +00:00,2013-05-05T00:00:00 +00:00,,Whiteside (County),99195,15c20af076ddcaddcc05f9c5de4f1561,2016-08-30T15:08:38 +00:00
4116,0,0,1,1,IL,2013-05-10T18:15:00 +00:00,DR,Flood,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",2013-04-16T09:37:00 +00:00,2013-05-05T00:00:00 +00:00,,Carroll (County),99015,b540252ff316dea357e58d642fe81653,2016-08-30T15:08:39 +00:00
