disasterNumber,incidentType,state,county,city,zipCode,totalValidRegistrations,validCallCenterRegistrations,validWebRegistrations,validMobileRegistrations,ihpReferrals,ihpEligible,ihpAmount,haReferrals,haEligible,haAmount,onaReferrals,onaEligible,onaAmount,hash,lastRefresh,declarationDate,title,incidentBeginDate,incidentEndDate
4116.0,Flood,IL,Cook (County),Chicago,60616.0,52.0,29.0,20.0,3.0,49.0,27.0,50305.25,43.0,21.0,34336.11,39.0,10.0,15969.14,4d52303055cddbee222237adb5e6011f,2014-11-23T02:38:03 +00:00,2013-05-10T18:15:00 +00:00,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",2013-04-16 09:37:00,2013-05-05T00:00:00 +00:00
4116.0,Flood,IL,Cook (County),Chicago,60626.0,62.0,33.0,24.0,5.0,57.0,35.0,60253.13,52.0,21.0,42848.62,46.0,22.0,17404.51,25359318fd8030fb8ae5c991e584a812,2014-11-23T02:38:03 +00:00,2013-05-10T18:15:00 +00:00,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",2013-04-16 09:37:00,2013-05-05T00:00:00 +00:00
4116.0,Flood,IL,Cook (County),Chicago,60638.0,254.0,125.0,116.0,13.0,244.0,170.0,296697.06,235.0,153.0,252489.35,185.0,51.0,44207.71,703dde59fb94d8724dafb7e580de1af9,2014-11-23T02:38:03 +00:00,2013-05-10T18:15:00 +00:00,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",2013-04-16 09:37:00,2013-05-05T00:00:00 +00:00
4116.0,Flood,IL,Cook (County),Chicago,60649.0,868.0,521.0,292.0,55.0,820.0,326.0,647843.53,769.0,256.0,549439.15,623.0,125.0,98404.38,d7751b872e8a71ba45ab3ca3f0a1b3f6,2015-03-02T19:03:16 +00:00,2013-05-10T18:15:00 +00:00,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",2013-04-16 09:37:00,2013-05-05T00:00:00 +00:00
4116.0,Flood,IL,Cook (County),Chicago,60661.0,2.0,1.0,0.0,1.0,1.0,1.0,4965.0,0.0,0.0,0.0,1.0,1.0,4965.0,955bff8c7a0532f615a49d150f15a270,2014-11-23T02:38:03 +00:00,2013-05-10T18:15:00 +00:00,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",2013-04-16 09:37:00,2013-05-05T00:00:00 +00:00
4116.0,Flood,IL,Cook (County),Chicago,60630.0,1.0,0.0,1.0,0.0,1.0,1.0,989.18,1.0,1.0,989.18,1.0,0.0,0.0,0d9d29db5b65c06373a7ba129722504b,2014-11-23T02:38:03 +00:00,2013-05-10T18:15:00 +00:00,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",2013-04-16 09:37:00,2013-05-05T00:00:00 +00:00
4116.0,Flood,IL,Cook (County),Chicago,60605.0,3.0,2.0,1.0,0.0,3.0,1.0,149.88,3.0,1.0,149.88,1.0,0.0,0.0,3654a75394b9fbb0a78bedc9b6342049,2014-11-23T02:38:03 +00:00,2013-05-10T18:15:00 +00:00,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",2013-04-16 09:37:00,2013-05-05T00:00:00 +00:00
4116.0,Flood,IL,Cook (County),Chicago,60617.0,2953.0,1.0,988.0,128.0,2871.0,1771.0,3534339.21,2778.0,1557.0,2975514.79,2104.0,619.0,558824.42,0b3e7ff8a8189a49b829ff73cea359d5,2014-11-23T02:38:03 +00:00,2013-05-10T18:15:00 +00:00,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",2013-04-16 09:37:00,2013-05-05T00:00:00 +00:00
4116.0,Flood,IL,Cook (County),Chicago,60628.0,5604.0,3.0,1.0,264.0,5452.0,3743.0,7305846.45,5307.0,3220.0,6236544.88,4209.0,1413.0,1069301.57,2a642b0f8cdeb39cc55cfb6850f95976,2015-03-02T19:03:16 +00:00,2013-05-10T18:15:00 +00:00,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",2013-04-16 09:37:00,2013-05-05T00:00:00 +00:00
4116.0,Flood,IL,Cook (County),Chicago,60639.0,679.0,430.0,209.0,40.0,666.0,499.0,1614664.74,651.0,424.0,1188153.55,521.0,258.0,426511.19,e80b4a673493d3d548542fe1b5054591,2015-03-02T19:03:16 +00:00,2013-05-10T18:15:00 +00:00,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",2013-04-16 09:37:00,2013-05-05T00:00:00 +00:00
