disasterNumber,incidentType,state,county,city,zipCode,validRegistrations,totalInspected,totalInspectedWithNoDamage,totalWithModerateDamage,totalWithMajorDamage,totalWithSubstantialDamage,approvedForFemaAssistance,totalApprovedIhpAmount,repairReplaceAmount,rentalAmount,otherNeedsAmount,approvedBetween1And10000,approvedBetween10001And25000,approvedBetween25001AndMax,totalMaxGrants,hash,lastRefresh
1935,Severe Storm(s),IL,Cook (County),CHGO,60617,1,1,1,0,0,0,1,225,0,0,225,1,0,0,0,f7870274dfb6f318a23bfd68794f59f9,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),CHICAGO,60411,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,fa5bc5caa8dec0c85aceedd79b001037,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),CHICAGO,60624,1,1511,1511,0,0,0,963,4439849,0,2837517,1602333,847,105,11,2,9278d4fdaaf7bfcd1e958774120e3d25,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),CICERO NW,60804,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0ada35954b2b73f0a5bdc2661409fb98,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),LANSING,60483,1,1,1,0,0,0,1,8669,0,7230,1439,1,0,0,0,75948ea0e74f5871327f04a18f2ea0a4,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),POSEN,60469,26,25,25,0,0,0,14,53786,0,40630,13156,12,2,0,0,5e62f7059da3825dad7758ccef8d5630,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),CHICAGO,60634,66,65,65,0,0,0,40,153814,0,74898,78916,37,3,0,0,543366b73070d25b8b8deff70abf887c,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),DOLTON,60419,517,510,510,0,0,0,291,1066935,0,772265,294670,261,29,1,0,12310418e2b2b738a381219577b0c389,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),MAWOOD,60153,1,1,1,0,0,0,1,1466,0,0,1466,1,0,0,0,cb8a1396e1d2cc4c4cc7c7550e975d94,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),SAUK VILAGE,60411,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,f6588986ab512b526eebc4472bb3701d,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),CHICAGO,60645,19,17,17,0,0,0,7,35768,0,26280,9488,6,1,0,0,28e5c6c4d9d0490fc02255ebb7a474a7,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),FLOSSMOOR,60422,18,18,18,0,0,0,10,18384,0,14958,3426,10,0,0,0,e33d8a301a0ea7c995b63777cb77f2ef,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),MIDLOTHIAN,60445,27,26,26,0,0,0,17,26110,0,9692,16418,17,0,0,0,d4dea98fa0d8016ae1a296b555de69e8,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),SOUTH HOLLAND,60473,198,194,194,0,0,0,122,592501,507,509717,82277,102,18,2,0,4ede65d2e1b96836c52602fbcc378061,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),CHICAGO,60614,9,8,8,0,0,0,3,6841,0,6422,419,3,0,0,0,31678b9b0cefb42a93f0c8591a517d1a,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),CHICAGO,60659,9,8,8,0,0,0,3,12698,0,6992,5706,3,0,0,0,d29b11f60d770d8fd79deb041ddeb5a2,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),HAZEL CREST,60429,208,205,205,0,0,0,121,320769,0,215254,105515,114,6,1,0,15425e359bd7ce95639b21d07bbfb962,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),OAK LAWN,60453,18,18,18,0,0,0,11,34488,0,21450,13038,10,1,0,0,4f6d71b7270521777affa3d3f61afb08,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),UNIVERSITY PARK,60484,8,8,8,0,0,0,5,10420,0,7764,2656,5,0,0,0,cdf038fb021aaf4bdb9c591cd8bff6b2,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),CHICAGO HTS,60411,5,5,5,0,0,0,3,17525,0,12416,5109,2,1,0,0,f478888525c2ea7ad76edced96607548,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),HOFFMAN ESTATES,60196,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,d6ef67d1e0a9dda9988bf22988a2236b,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),ORLAND PARK,60467,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,a2191cc254b8a3215fad15168feb6dc1,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),ARLINGTON HEIGHTS,60004,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,9a7dd250295e6f7b25d54fcdce7723eb,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),CHICAGO,60613,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,c8a1c09c7568bbedd651d846abd53e5c,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),BURNHAM,60633,33,32,32,0,0,0,14,56200,0,45483,10717,13,1,0,0,1c91e171e8b36fe2f299a44498cee843,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),CHICAGO,60633,49,49,49,0,0,0,26,81049,0,63351,17698,24,1,1,0,3d89897ea2a587a93b8d9a7a48207519,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),CHICAGO HEIGHTS,60411,233,226,226,0,0,0,117,756671,0,690284,66387,88,27,2,0,d90d324bb372c1547dc77c67ab996c94,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),HOFFMAN ESTATES,60169,5,5,5,0,0,0,2,4275,0,2480,1795,2,0,0,0,0f6d752df6ecfa11a54f23cbfff685ad,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),DIXMOOR,60426,38,36,36,0,0,0,18,77660,0,64097,13563,16,1,1,1,640d9bfbb969455de34d043b3589e66a,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),CHG,60609,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,00ca52da49cec92280cc55306d0784c9,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),CHICAGO,60644,1,1597,1597,0,0,0,1091,4368660,1919,2609783,1756958,989,94,8,0,7bc21cf56440628b33c31467f8116a57,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),EVERGREEN PARK,60805,44,43,43,0,0,0,14,49739,0,39650,10089,12,2,0,0,f074383a83bf7bea2c3c5da5154623d9,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),CHICAGO,60290,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,d108b4ef1b90827860d07451ebe6d5e4,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),CHICAGO,60658,1,1,1,0,0,0,1,479,0,0,479,1,0,0,0,872911800e258946085cd99d000d0500,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),HARWOOD HEIGHTS,60706,1,1,1,0,0,0,1,568,0,0,568,1,0,0,0,03486a05d1daba098e8d80fbf62062e9,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),BERKELEY,60163,38,34,34,0,0,0,22,128337,0,82199,46138,18,3,1,0,a3fcc1d18117990f0b7a440fe5b8ecdc,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),ORLAND PARK,60462,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,12c8cccbbd71017260a049a04b9cf572,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),MERRIONETTE PARK,60803,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,9bd53423ec114426ccad851b019595ae,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),OAK FOREST,60452,8,7,7,0,0,0,6,11597,0,7900,3697,6,0,0,0,23e8df1a60f4becb863af4cae08d8f9d,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),CHICAGO,60623,1,1503,1503,0,0,0,986,4470915,1494,2532397,1937024,895,85,6,1,311135660f0366484cdf4107ccfc8eed,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),SOUTH CHICAGO HEIGHTS,60411,11,11,11,0,0,0,8,12570,0,7324,5246,8,0,0,0,00ecda07474d9d04f787bc55c412fb38,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),CICERO,60804,1,1097,1097,0,0,0,810,3791828,1855,1585886,2204086,749,57,4,1,0ba29a3fbc077e95a68b362d7a407e81,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),LANSING,60438,113,110,110,0,0,0,77,272477,0,167743,104734,72,5,0,0,53641925d1a3b853ab14f4299e075d1a,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),PHOENIX,60426,47,46,46,0,0,0,20,61377,0,50326,11051,18,2,0,0,c4827c10d9705abab14af4c80472550e,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),MATTESON,60443,91,86,86,0,0,0,30,115397,0,96153,19244,27,3,0,0,c8388536af6f978be32e7ba3f9332468,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),TINLEY PARK,60477,4,4,4,0,0,0,2,5480,0,4512,968,2,0,0,0,ce6e6906da8d7b04659f981cc07721c6,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),ROSELLE,60172,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4135a9c6e1427996836773d549b17dc1,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),BARTLETT,60103,2,2,2,0,0,0,1,294,0,0,294,1,0,0,0,fc0bd336a5aae3dc546661a9c3579e45,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),BLUE ISLAND,60406,130,127,127,0,0,0,47,90901,0,63844,27057,45,2,0,0,2e043b2a17331d33beb6cc60f0ffad11,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),CALUMET CITY,60409,580,563,563,0,0,0,312,1302249,0,1040558,261691,274,34,4,3,7707a8ea0609bc801f7d7fc5835c327b,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),CHGO,60621,1,1,1,0,0,0,1,1232,0,0,1232,1,0,0,0,20f61b5c06c9b533d247ea910cff5482,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),CHICAGO,60601,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57d4f2a5a530a099c08184498ca5e93c,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),CHICAGO,60616,47,40,40,0,0,0,15,21879,0,15122,6757,15,0,0,0,09b694fd41c31a4d32ce4bb526f86f19,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),CHICAGO,60637,826,805,805,0,0,0,483,2119457,5310,1529704,584443,417,61,5,2,84f9bf8d89249bc3d58f4eb26db668f1,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),ELK GROVE VILLAGE,60007,1,1,1,0,0,0,1,100,0,0,100,1,0,0,0,2d4a290827b5896f251d644b34446b62,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),CHICAGO,60663,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4141a196b8fdece656a1aef52ea2f65d,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),HICKORY HILLS,60457,3,3,3,0,0,0,1,2032,0,2032,0,1,0,0,0,071ab5a0fc033438ede70b14cd9ea846,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),CHICAGOIL,60644,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,a2e14664c1cac8d27326d1d937a31621,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),HOMEWOOD,60430,53,53,53,0,0,0,28,85339,0,63444,21895,25,2,1,0,39f22ebb4a2d18867ede63b3311d0fd1,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),CHICAGO,60647,172,164,164,0,0,0,104,347768,0,155749,192019,100,3,1,1,b7d8be3244b2f4bdc901d90cf76c5b7d,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),FOREST PARK,60130,206,190,190,0,0,0,93,318385,0,183027,135358,87,6,0,0,86540e32a6c0696d77558e14bfe5e060,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),MAYWOOD,60155,1,1,1,0,0,0,1,500,0,0,500,1,0,0,0,616d68407c1f637abad5d457962707e0,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),CHICAGO,60626,19,18,18,0,0,0,10,46689,0,35248,11441,8,2,0,0,b68b659d84ab1611f8a0dabdde369973,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),COUNTRYCLUB HILLS,60478,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,91b1e617a54311d46dee6fb8abaedafa,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),LEMONT,60439,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,cdc79c4278c8b441d632ceecc6782c2d,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),OAK PARK,60301,3,3,3,0,0,0,1,338,0,0,338,1,0,0,0,85027d99e7f9da92806ed80cb0661962,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),PALATINE,60074,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,09b3b5dcbe807983781c140c6e29b57f,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),SCHAUMBURG,60173,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,fda487b31a97c5b3a1f2dc0dae6cad03,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),NILES,60714,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,6bde4a1a6cbbaa948f84cd9f8fabdda0,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),STEGER,60475,10,10,10,0,0,0,2,3374,0,2806,568,2,0,0,0,68d203e8016720fb323ef0ec49cae7b2,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),RIVER DALE,60827,1,1,1,0,0,0,1,80,0,0,80,1,0,0,0,45ba263f5ea956e2015ca4392df42330,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),WESCTCHESTER,60154,1,1,1,0,0,0,1,6186,0,4518,1668,1,0,0,0,c79178da458d9710affac22825b721c0,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),BARRINGTON,60010,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,46bcced461d27c88915c117c80b4df60,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),CALUMET,60827,1,1,1,0,0,0,1,2480,0,2480,0,1,0,0,0,092d409e11f93261969cf712fe61f144,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),BERWYN,60402,227,215,215,0,0,0,114,363675,0,199535,164140,107,7,0,0,2aab2d3f67eaa713c8b1c6c9cfae0adf,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),CHGO,60619,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,572077e5ba971a539c5049db52e3bb56,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),CHICAGO,60443,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77c7588d53c1e68d83fa404fc200ea60,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),CHICAGO,60625,16,14,14,0,0,0,11,36092,0,16796,19296,11,0,0,0,4a86aa708b8e45da308197db1cc8f2a4,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),CHICAGO,60615,209,201,201,0,0,0,69,166121,0,110191,55930,66,3,0,0,becc38bb4618661e154b1a1d301423fd,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),CHICAGO,60636,2,2056,2056,0,0,0,1278,4394433,1365,3112163,1280906,1,93,18,7,e2787518997128d25c3f5e974afc32dd,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),CHICAGO,60660,11,11,11,0,0,0,4,25499,0,19428,6071,3,1,0,0,30ddf9b90aacc31d151b4f138bb5dce6,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),CHICAGO,60646,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,e77d12bd01cb6f55577315117c6768ab,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),COUNTRY CLUB HILLS,60478,166,162,162,0,0,0,83,304706,0,247161,57545,73,10,0,0,1a65a528574ec47c42a60124543f358b,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),CHICAGO IL,60624,1,1,1,0,0,0,1,1157,0,0,1157,1,0,0,0,fe11343d13d43a21053d1df690cd5a27,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),ELGIN,60120,7,7,7,0,0,0,4,1262,0,0,1262,4,0,0,0,564495c054069ce5aa883ade1fdf541e,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),FORD HEIGHTS,60411,83,83,83,0,0,0,39,179352,0,148894,30458,34,5,0,0,6c5c5c58c6d44d9d44ac7ad3f40cd773,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),HAZELCREST,60429,7,7,7,0,0,0,4,16174,0,8821,7353,4,0,0,0,fdd4727f8443f40f40ffb64e1301ef85,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),HOMETOWN,60456,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0ae3248f3bf01231bf42247ed760d48a,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),LANSINGING,60438,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1440bd6721b6f1fb6738271ea578ad87,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),MAYWOOD,60153,1,1053,1053,0,0,0,747,3372523,4483,2186934,1181106,665,76,6,3,308a5b9870c8a41ecf1fb5f3b5722150,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),MOUNT PROSPECT,60056,3,3,3,0,0,0,1,2484,0,2484,0,1,0,0,0,14345159e3d537852da4dead60beeaf2,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),OAKLAWN,60453,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,d50a10b0be8cda295de9e432c1d800ff,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),PALATINE,60067,1,1,1,0,0,0,1,4650,0,0,4650,1,0,0,0,57d77103dffe6afe1d8173f917ae20c3,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),RICHTON PARK,60471,82,79,79,0,0,0,39,251130,0,222947,28183,30,8,1,0,440d9c269507e7ab810d337b63050077,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),SAUK VILLAGE,60411,188,186,186,0,0,0,100,438425,0,392440,45985,88,9,3,1,435e66d8484dd0c8fadc7ac1a75ca6a4,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),UNIVERSITY PK,60484,1,1,1,0,0,0,1,859,0,0,859,1,0,0,0,e4fdfc663c7f6a3c28c74b39699194fc,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),SOUTHHOLLAND,60473,2,2,2,0,0,0,1,2678,0,1806,872,1,0,0,0,e7c7590e661f67902bef84aedb7ecd85,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),BEDFORD PARK,60638,4,2,2,0,0,0,1,4650,0,0,4650,1,0,0,0,1d42aef220a00058efef695d0f0b64c1,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),BRIDGEVIEW,60455,11,7,7,0,0,0,4,4256,0,0,4256,4,0,0,0,0443c29fa07e7bdb1d18bfe0700aeed6,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),CALUMET PARK,60827,155,152,152,0,0,0,83,516699,0,418314,98385,65,15,3,0,3f0bcc5080a03a5e354067a03af2bfd7,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),CHGO,60624,1,1,1,0,0,0,1,1806,0,1806,0,1,0,0,0,68fe69adbbd8fc304d8a24cf93c43d87,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),CHICAGO,60617,1,1422,1422,0,0,0,784,2517137,0,1919221,597915,715,64,5,2,40fdb0a247f96be0d5638700e3d421a0,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),CHICAGO,60605,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,e5cf4af33a1cfb3aa15e2d0a47d452ce,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),CHICAGO,60627,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,06433734180a167d79e93e6f91ae971c,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),CHICAGO,60638,259,245,245,0,0,0,143,384236,0,202264,181972,137,5,1,1,ca421abb9d9fec3a9bf36967afd18e23,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),CHICAGO,60649,649,632,632,0,0,0,360,1474341,0,1031329,443011,315,45,0,0,aa652f17c951b6a6783061796cb3ba10,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),CHICAGO,60707,59,58,58,0,0,0,33,155044,0,55245,99799,30,3,0,0,fa7d0ce06cffd2bf08d86bedda7ac719,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),CHICAGO RIDGE,60415,2,2,2,0,0,0,1,568,0,0,568,1,0,0,0,033969cf46f26727293c86b2048b1392,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),COUNTRYSIDE,60525,9,9,9,0,0,0,6,10361,0,5644,4717,6,0,0,0,989de49dbe20a7dd1a6cd7504c70cec5,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),ELMHURST,60126,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,d878924e9a7e7279a0a31d80d6df1041,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),FRANKLIN PARK,60131,7,7,7,0,0,0,3,19025,0,17398,1627,2,1,0,0,2a95afc9b914500c19f54e3799c08eac,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),MAYWOOOD,60153,1,1,1,0,0,0,1,2211,0,0,2211,1,0,0,0,f098aeafa652d9fe75e9d804eb867525,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),NORRIDGE,60706,9,9,9,0,0,0,5,8571,0,5644,2927,5,0,0,0,6ae89303e2c2d220d85fb91a77f569c1,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),LINCOLNWOOD,60712,3,3,3,0,0,0,3,7000,0,7000,0,3,0,0,0,3c6a61e111084a11edaf2ec7304b45fe,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),IND HEAD PK,60525,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,29a8fddcc6357f2662e4c7070680906f,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),PALOS HILLS,60465,7,7,7,0,0,0,4,5628,0,0,5628,4,0,0,0,89c9283fb011e9744a122057ad2cdc62,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),RIVERDALE,60628,1,1,1,0,0,0,1,1808,0,1808,0,1,0,0,0,2802a5b2787546972e8c1bc41ceb8c4f,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),HILLSDE,60162,1,1,1,0,0,0,1,580,0,0,580,1,0,0,0,45b928beed1c34a5c7e5dfcef3ab8a31,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),SCHAUMBURG,60193,3,3,3,0,0,0,1,374,0,0,374,1,0,0,0,05cdd7d821301f7f16103120b2da4f95,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),OAK PARK,60302,71,68,68,0,0,0,23,89214,0,52398,36816,21,2,0,0,266d3016b95300b27e4559fba0a2b6b2,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),STICKNEY,60402,8,8,8,0,0,0,3,4263,0,3224,1039,3,0,0,0,37caeb93ef442169a5628d5ed255cef0,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),WESTCHESTER,60154,225,200,200,0,0,0,109,401581,5571,245490,150520,100,8,1,0,63e11bddc2a362933ccea8b270ef95ad,2014-11-20T15:20:39 +00:00
1800,Severe Storm(s),IL,Cook (County),ARLINGTON HEIGHTS,60004,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,a875a9eeee8f7ceedcd50e6ead84142e,2014-11-20T15:22:28 +00:00
1800,Severe Storm(s),IL,Cook (County),BROOKFIELD,60513,15,14,14,0,0,0,9,32864,0,18395,14469,9,0,0,0,c8091010fa48696cac5dcf9cf3080230,2014-11-20T15:22:28 +00:00
1800,Severe Storm(s),IL,Cook (County),CHICAGO,60608,3,3,3,0,0,0,2,10492,0,3576,6916,2,0,0,0,b28b9f892c06a66c2a089990ea3708bc,2014-11-20T15:22:28 +00:00
1800,Severe Storm(s),IL,Cook (County),CHICAGO,60621,187,178,178,0,0,0,55,125159,0,82147,43012,54,1,0,0,3f15f399217b4b438df786c1bb077a01,2014-11-20T15:22:28 +00:00
1800,Severe Storm(s),IL,Cook (County),CHICAGO,60632,3,3,3,0,0,0,1,304,0,0,304,1,0,0,0,e63bc04e207671b79de5a9c8e3dea416,2014-11-20T15:22:28 +00:00
1800,Severe Storm(s),IL,Cook (County),CHICAGO,60643,259,248,248,0,0,0,91,248212,0,197838,50374,83,8,0,0,5b024fa50e38a90ea1e33acc25df6be6,2014-11-20T15:22:28 +00:00
1800,Severe Storm(s),IL,Cook (County),CHICAGO,60656,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,f91883692a278b4a39a2a4b5d0b99f7e,2014-11-20T15:22:28 +00:00
1800,Severe Storm(s),IL,Cook (County),COUNTRY CLUB HILLS,60478,131,126,126,0,0,0,44,119211,0,89569,29642,41,3,0,0,32a73b1d5e957d23397a124a17d2cd2d,2014-11-20T15:22:28 +00:00
1800,Severe Storm(s),IL,Cook (County),ELMWOOD PARK,60707,8,8,8,0,0,0,5,10798,0,4462,6336,5,0,0,0,9776fa3ce57b435a8a51174453c3b43d,2014-11-20T15:22:28 +00:00
