Created Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
2000-01-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2000-01-17,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,2,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2000-01-18,0,0,2,1,0,0,0,2,1,0,0,0,0,2,0,1,0,0,0,1,3,0,0,1,1,0,1,1,0,0,0,0,0,8,0,0,4,1,1,0,0,0,0,0,1,1,0,1,0,0
2000-01-19,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
2000-01-20,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2000-01-21,2,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,2,0,2,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,1,1,0,0,1,0,0,0
2000-01-22,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0
2000-01-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
2000-01-24,2,3,0,0,1,0,2,0,0,0,3,0,2,0,0,2,0,1,0,0,0,1,1,0,1,0,2,0,0,0,0,0,0,4,3,1,1,0,0,0,0,0,0,1,1,1,0,1,1,0
2000-01-25,2,0,0,0,0,1,3,1,3,0,0,1,1,0,0,3,1,0,1,2,1,0,0,0,0,0,0,0,1,0,1,0,2,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2000-01-26,0,1,0,0,0,4,1,0,2,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,2,0,1,0,0,0,1,0,2,0,0,0,0,0
2000-01-27,0,0,0,0,2,1,0,0,1,0,0,2,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2000-01-28,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,2,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
2000-01-29,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2000-01-30,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2000-01-31,1,0,0,0,0,0,1,2,2,1,0,0,2,0,0,1,0,1,1,1,0,0,0,1,3,0,1,0,2,0,1,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0
2000-02-01,1,2,1,0,0,0,0,0,3,3,0,0,2,1,0,0,1,2,0,0,0,0,1,0,1,0,4,0,0,2,1,0,0,0,2,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0
2000-02-02,2,0,1,0,0,1,1,0,2,1,0,0,1,2,0,2,0,0,0,1,1,0,2,1,2,2,1,1,1,1,1,1,0,2,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
2000-02-03,0,0,0,0,0,0,0,2,3,3,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
