ward,precip
1,-0.22
2,3.40909090909
3,1.82608695652
4,3.45744680851
5,2.95454545455
6,2.31944444444
7,2.09322033898
8,1.2641509434
9,0.889261744966
10,-1.12751677852
11,-0.352272727273
12,-0.948529411765
13,-5.20689655172
14,-3.74342105263
15,2.41304347826
16,5.96111111111
17,0.421875
18,1.25925925926
19,-2.12411347518
20,5.31818181818
21,-1.06818181818
22,-1.83333333333
23,-3.20792079208
24,-0.622448979592
25,0.5
26,-3.45652173913
27,-0.573770491803
28,0.355072463768
29,-2.28169014085
30,-2.46153846154
31,-3.36585365854
32,-2.92307692308
33,-1.8
34,1.27124183007
35,-1.8125
36,-0.1875
37,-0.38679245283
38,3.31818181818
39,1.12871287129
40,-2.11290322581
41,-0.543209876543
42,5.39285714286
43,5.23684210526
44,5.275
45,-1.27659574468
46,-0.125
47,-0.364864864865
48,2.11111111111
49,-0.75
50,-1.33333333333
