ward,precip
1,1.97272727273
2,3.70454545455
3,7.90454545455
4,11.9490740741
5,8.11458333333
6,3.81818181818
7,5.68269230769
8,6.07278481013
9,4.3418972332
10,3.81145833333
11,5.515625
12,2.93981481481
13,3.82094594595
14,2.31944444444
15,3.55172413793
16,6.26923076923
17,7.08943089431
18,5.18224299065
19,4.79536679537
20,4.04230769231
21,6.62828947368
22,3.63302752294
23,3.90236686391
24,7.81308411215
25,6.43859649123
26,0.44
27,2.97222222222
28,6.54924242424
29,7.65625
30,5.015625
31,3.32203389831
32,2.85344827586
33,4.78846153846
34,5.27577319588
35,5.80392156863
36,5.55421686747
37,4.70238095238
38,5.87419354839
39,5.01470588235
40,2.37704918033
41,3.53773584906
42,14.7894736842
43,1.78
44,7.29268292683
45,7.02358490566
46,5.64285714286
47,6.09166666667
48,0.589285714286
49,-0.411764705882
50,2.64285714286
