ward,precip
1,-8.8253968254
2,-8.60869565217
3,-4.60964912281
4,-7.44594594595
5,-10.3333333333
6,-7.28455284553
7,-10.53125
8,-9.2701863354
9,-7.86742424242
10,-9.4555984556
11,-6.42164179104
12,-9.63913043478
13,-7.5472972973
14,-6.4746835443
15,-8.77857142857
16,-6.99537037037
17,-8.2868852459
18,-3.49547511312
19,-6.69433962264
20,-6.67293233083
21,-7.45806451613
22,-4.88260869565
23,-5.98870056497
24,-10.0047169811
25,-6.2264957265
26,-9.08064516129
27,-7.86458333333
28,-8.84926470588
29,-5.1484375
30,-2.76515151515
31,-5.5234375
32,-7.44520547945
33,-4.44545454545
34,-7.63184079602
35,-3.31481481481
36,-1.43827160494
37,-5.06914893617
38,-0.216981132075
39,-0.18661971831
40,-5.05333333333
41,1.86992840095
42,12.0818181818
43,-12.57
44,-8.67073170732
45,-0.720720720721
46,-7.3625
47,-6.19178082192
48,-5.16666666667
49,-6.54166666667
50,-5.17692307692
