ward,precip
1,7.3984375
2,6.45555555556
3,6.40789473684
4,7.13302752294
5,7.02358490566
6,6.26016260163
7,6.14601769912
8,5.13548387097
9,6.65283018868
10,4.7092555332
11,6.18045112782
12,7.6313559322
13,8.3277027027
14,7.50931677019
15,7.89436619718
16,8.5871559633
17,8.87401574803
18,9.1628959276
19,8.4530075188
20,6.51481481481
21,6.55519480519
22,8.08620689655
23,8.54748603352
24,6.3619047619
25,5.24347826087
26,7.625
27,6.79139072848
28,7.26296296296
29,8.74230769231
30,7.38235294118
31,7.93846153846
32,7.02702702703
33,7.82456140351
34,6.89698492462
35,7.61764705882
36,8.07058823529
37,8.10106382979
38,9.11818181818
39,9.58965517241
40,9.01973684211
41,8.1744966443
42,10.75
43,5.25
44,6.09756097561
45,8.30909090909
46,6.58974358974
47,7.67808219178
48,9.47142857143
49,10.7777777778
50,10.4923076923
