ward,precip
1,5.41964285714
2,7.36585365854
3,4.98598130841
4,8.71904761905
5,7.50952380952
6,6.82203389831
7,7.35714285714
8,7.34090909091
9,2.814453125
10,2.56262833676
11,2.79098360656
12,2.50434782609
13,-0.973880597015
14,1.84459459459
15,5.9347826087
16,6.63513513514
17,3.19008264463
18,2.88151658768
19,3.6976744186
20,7.23828125
21,4.61842105263
22,4.44392523364
23,0.786144578313
24,3.79797979798
25,5.65420560748
26,3.95283018868
27,5.24662162162
28,4.96031746032
29,4.66386554622
30,2.75
31,4.84482758621
32,6.1875
33,6.77777777778
34,2.91176470588
35,5.39743589744
36,0.6
37,4.30357142857
38,-0.535433070866
39,2.53571428571
40,4.28205128205
41,0.792284866469
42,10.0319148936
43,4.22619047619
44,5.93243243243
45,-0.185897435897
46,1.34090909091
47,4.75471698113
48,4.275
49,7.82142857143
50,6.77173913043
