ward,precip
1,4.12295081967
2,7.625
3,4.75700934579
4,5.00943396226
5,6.48529411765
6,6.20168067227
7,4.91414141414
8,4.1875
9,7.50378787879
10,5.716
11,1.5534351145
12,2.21153846154
13,-1.75
14,-0.576388888889
15,3.28985507246
16,3.02857142857
17,3.98717948718
18,1.82943925234
19,7.82307692308
20,8.16538461538
21,6.54575163399
22,2.22566371681
23,-1.47891566265
24,3.4375
25,3.94690265487
26,1.9649122807
27,4.4375
28,2.35887096774
29,2.74285714286
30,1.57843137255
31,-0.0964912280702
32,3.74305555556
33,4.97222222222
34,6.88383838384
35,4.4375
36,2.11688311688
37,2.98235294118
38,-0.0698529411765
39,0.241803278689
40,5.22602739726
41,-1.72030651341
42,10.8482142857
43,0.634146341463
44,5.39743589744
45,1.11827956989
46,3.15625
47,4.85074626866
48,3.90625
49,3.66666666667
50,2.00892857143
