ward,precip
1,1.90697674419
2,5.36486486486
3,4.80625
4,8.36666666667
5,9.35294117647
6,7.33333333333
7,4.57211538462
8,4.13541666667
9,1.279296875
10,3.52215189873
11,2.0202020202
12,2.33333333333
13,3.90551181102
14,-1.98062015504
15,1.98837209302
16,3.16161616162
17,3.38260869565
18,7.04932735426
19,4.26666666667
20,5.21739130435
21,4.53020134228
22,1.73611111111
23,3.51572327044
24,3.685
25,4.25675675676
26,3.14912280702
27,5.07196969697
28,7.48161764706
29,5.93495934959
30,5.89393939394
31,4.68333333333
32,2.23387096774
33,2.58333333333
34,5.59487179487
35,4.39772727273
36,6.25949367089
37,8.67553191489
38,2.69424460432
39,2.78925619835
40,4.61206896552
41,2.85731132075
42,11.2844827586
43,4.03
44,6.67567567568
45,7.52884615385
46,6.68055555556
47,7.37121212121
48,3.15789473684
49,1.25
50,5.0
