ward,precip
1,-3.81818181818
2,2.73076923077
3,-1.72142857143
4,1.79545454545
5,-2.0
6,-2.71052631579
7,-1.87341772152
8,-1.75793650794
9,-2.49526066351
10,0.140186915888
11,-2.8275862069
12,-3.82089552239
13,-2.44485294118
14,-1.90476190476
15,-3.8
16,-2.93529411765
17,-1.2037037037
18,-2.21531100478
19,-3.55907172996
20,-2.77040816327
21,-2.0905511811
22,-1.51515151515
23,-1.88819875776
24,-3.50961538462
25,-1.94936708861
26,-2.265625
27,-1.97435897436
28,-3.51818181818
29,-2.57608695652
30,-2.03571428571
31,-2.2375
32,-2.47222222222
33,-2.02941176471
34,-3.04601226994
35,-2.5652173913
36,-1.51063829787
37,-1.45689655172
38,-0.340909090909
39,-1.60638297872
40,-1.22972972973
41,2.09571788413
42,14.5357142857
43,0.34
44,-0.0263157894737
45,-1.56
46,0.216666666667
47,-0.564516129032
48,1.47222222222
49,2.15909090909
50,-1.8275862069
