ward,precip
1,3.37962962963
2,8.125
3,5.80841121495
4,9.80733944954
5,8.61214953271
6,7.6762295082
7,5.9009009009
8,7.22402597403
9,3.1032388664
10,0.457110609481
11,-0.0409090909091
12,2.27232142857
13,-1.69784172662
14,-1.65625
15,3.21014492754
16,4.47663551402
17,6.07258064516
18,3.44366197183
19,5.97148288973
20,5.24031007752
21,2.48333333333
22,2.64159292035
23,-1.73493975904
24,3.32524271845
25,3.40277777778
26,0.865384615385
27,5.36206896552
28,3.13821138211
29,0.621495327103
30,1.31967213115
31,1.50819672131
32,2.21212121212
33,6.53389830508
34,3.55357142857
35,4.75531914894
36,-0.75
37,1.76
38,-2.16386554622
39,1.19421487603
40,0.598039215686
41,-2.74482758621
42,11.8148148148
43,6.31
44,6.65789473684
45,2.94444444444
46,4.0
47,4.39552238806
48,8.22580645161
49,-1.6935483871
50,-0.760869565217
