ward,precip
1,-1.65151515152
2,0.5
3,-2.50657894737
4,2.3908045977
5,-0.037037037037
6,-1.99468085106
7,-1.10483870968
8,-3.00471698113
9,-3.09933774834
10,-3.27845528455
11,-4.19402985075
12,-4.71666666667
13,-5.23228346457
14,-5.29130434783
15,-4.5119047619
16,-3.27777777778
17,-4.39411764706
18,-4.14
19,-4.609375
20,-1.53333333333
21,-3.0
22,-4.76
23,-5.75838926174
24,-4.09523809524
25,-2.8431372549
26,-1.984375
27,-0.455056179775
28,-2.57142857143
29,-3.60869565217
30,-4.0
31,-2.21212121212
32,1.83333333333
33,-0.88
34,-4.05147058824
35,0.380952380952
36,-4.70689655172
37,-1.48039215686
38,-4.07894736842
39,-2.78125
40,0.0277777777778
41,-3.53571428571
42,10.5
43,0.188888888889
44,4.13043478261
45,-3.4880952381
46,1.55882352941
47,-2.0
48,-0.225
49,0.75
50,-2.75
