ward,precip
1,-3.65
2,1.13333333333
3,-1.10240963855
4,1.29452054795
5,0.546052631579
6,-2.88815789474
7,-2.18
8,-3.07558139535
9,-2.86842105263
10,-2.2213622291
11,-2.78333333333
12,-4.03448275862
13,-5.41666666667
14,-1.8137254902
15,-4.57954545455
16,-3.53289473684
17,-3.69620253165
18,-4.40277777778
19,-4.02617801047
20,-1.36448598131
21,-3.48958333333
22,-3.25641025641
23,-5.14018691589
24,-4.40476190476
25,-2.22641509434
26,-6.125
27,-2.23170731707
28,-3.84444444444
29,-4.0
30,-2.92857142857
31,0.3125
32,-4.84090909091
33,-0.636363636364
34,-3.23958333333
35,-1.66666666667
36,-4.15384615385
37,-4.58928571429
38,-2.85897435897
39,-2.89130434783
40,-2.93333333333
41,-3.9068627451
42,13.75
43,-2.2
44,-2.5625
45,-3.38888888889
46,-0.875
47,-2.91666666667
48,-1.875
49,-1.55555555556
50,-2.23333333333
