ward,precip
1,-1.69047619048
2,-1.16304347826
3,4.55217391304
4,3.19902912621
5,4.08878504673
6,10.0443548387
7,0.117924528302
8,7.50322580645
9,8.92748091603
10,3.9900990099
11,1.0234375
12,5.2264957265
13,1.32042253521
14,1.95238095238
15,3.80882352941
16,6.86574074074
17,12.564
18,6.59862385321
19,12.7943396226
20,3.35877862595
21,6.77302631579
22,2.16964285714
23,0.635838150289
24,11.285046729
25,3.24137931034
26,5.29032258065
27,4.05067567568
28,5.29044117647
29,3.64728682171
30,1.8
31,2.12307692308
32,2.09333333333
33,5.33035714286
34,12.5
35,3.60377358491
36,2.27777777778
37,6.77127659574
38,-1.49685534591
39,-0.0104166666667
40,-6.8961038961
41,1.99052132701
42,12.4056603774
43,-6.12962962963
44,-4.025
45,1.42990654206
46,-7.8
47,-1.10869565217
48,-5.77272727273
49,-6.30882352941
50,-6.46923076923
