ward,precip
1,0.354838709677
2,6.25
3,1.79347826087
4,3.28865979381
5,5.93406593407
6,7.64285714286
7,2.97752808989
8,5.24503311258
9,5.85328185328
10,0.918439716312
11,0.547368421053
12,4.99528301887
13,7.7275862069
14,2.32283464567
15,3.4328358209
16,2.52475247525
17,9.7
18,4.79534883721
19,3.70781893004
20,3.27916666667
21,2.38602941176
22,0.296511627907
23,5.06034482759
24,3.54891304348
25,1.04117647059
26,-0.217948717949
27,1.20202020202
28,0.482954545455
29,0.55487804878
30,-1.65384615385
31,-1.90540540541
32,0.266666666667
33,-1.71428571429
34,2.37158469945
35,-1.14285714286
36,-0.224489795918
37,3.17613636364
38,-1.99504950495
39,-0.62
40,-0.966666666667
41,-1.35535714286
42,10.2454545455
43,0.733333333333
44,4.625
45,-0.909836065574
46,-2.5
47,0.571428571429
48,2.26
49,-2.0
50,-3.38235294118
