ward,precip
1,7.3359375
2,8.57608695652
3,7.40434782609
4,8.46396396396
5,8.55555555556
6,6.80165289256
7,8.76754385965
8,7.52173913043
9,5.74524714829
10,7.84046692607
11,6.79545454545
12,5.91810344828
13,6.05673758865
14,7.20382165605
15,7.03571428571
16,7.33027522936
17,6.62601626016
18,6.00913242009
19,6.74517374517
20,7.51127819549
21,6.04697986577
22,6.50869565217
23,6.47777777778
24,7.09174311927
25,7.83333333333
26,6.22580645161
27,7.06953642384
28,6.64855072464
29,7.81153846154
30,7.8768115942
31,6.40625
32,7.05479452055
33,10.4833333333
34,6.51507537688
35,9.89423076923
36,7.92261904762
37,6.24193548387
38,8.81325301205
39,9.9724137931
40,9.24675324675
41,7.61804008909
42,13.488372093
43,8.18518518519
44,7.8375
45,7.20720720721
46,7.5243902439
47,6.82876712329
48,8.515625
49,9.01388888889
50,10.0461538462
