ward,precip
1,7.9140625
2,8.8829787234
3,12.0826086957
4,12.8018018018
5,14.4724770642
6,14.2581967213
7,13.0657894737
8,14.0776397516
9,11.1254681648
10,12.7023121387
11,9.22962962963
12,7.34482758621
13,3.82394366197
14,4.78205128205
15,8.62676056338
16,11.5363636364
17,12.2945736434
18,9.3
19,10.2433962264
20,12.2014925373
21,13.9225806452
22,6.86403508772
23,2.88235294118
24,10.6467889908
25,11.0129310345
26,10.253968254
27,8.55333333333
28,9.52573529412
29,7.38076923077
30,5.94117647059
31,8.703125
32,6.77702702703
33,8.71186440678
34,11.4054726368
35,7.45098039216
36,5.42168674699
37,11.1947368421
38,2.22012578616
39,5.01811594203
40,8.5974025974
41,-0.100710900474
42,13.2794117647
43,8.15094339623
44,7.81707317073
45,5.07009345794
46,8.6875
47,9.21232876712
48,7.89393939394
49,8.82432432432
50,6.8671875
