ward,precip
1,0.297297297297
2,5.46153846154
3,2.44285714286
4,5.16176470588
5,5.8125
6,2.1906779661
7,3.64601769912
8,3.70967741935
9,4.10646387833
10,6.13742690058
11,1.67543859649
12,-0.0642857142857
13,-2.11855670103
14,-2.4880952381
15,-2.22368421053
16,0.994444444444
17,1.83771929825
18,-0.339473684211
19,0.0629921259843
20,3.35769230769
21,4.02068965517
22,-1.53378378378
23,-2.82242990654
24,0.753333333333
25,3.77528089888
26,-2.03488372093
27,1.85227272727
28,0.461904761905
29,-1.82692307692
30,-2.72058823529
31,-2.87179487179
32,2.15625
33,-0.957142857143
34,1.11197916667
35,-0.844827586207
36,-3.54166666667
37,-0.724489795918
38,-2.47014925373
39,-0.524096385542
40,-0.755102040816
41,-2.11403508772
42,16.1034482759
43,2.225
44,3.36206896552
45,1.66101694915
46,-0.5
47,-1.64
48,0.263157894737
49,0.1
50,0.641509433962
