ward,precip
1,7.50806451613
2,8.35106382979
3,6.74122807018
4,7.63963963964
5,8.52314814815
6,7.23553719008
7,8.59292035398
8,7.5652173913
9,6.19083969466
10,7.74181117534
11,8.0
12,7.19130434783
13,8.12751677852
14,6.87106918239
15,7.61267605634
16,8.60550458716
17,6.93650793651
18,7.91441441441
19,7.89885496183
20,8.44776119403
21,7.22222222222
22,6.98695652174
23,8.16944444444
24,6.73148148148
25,6.79464285714
26,8.4126984127
27,7.03205128205
28,7.34732824427
29,8.72727272727
30,8.23484848485
31,8.40625
32,7.61486486486
33,8.64655172414
34,8.15075376884
35,7.92452830189
36,7.76829268293
37,8.07894736842
38,8.74096385542
39,9.20486111111
40,9.875
41,8.88975501114
42,12.3673469388
43,7.56481481481
44,8.20731707317
45,8.55
46,11.125
47,9.36111111111
48,11.4852941176
49,11.0135135135
50,9.890625
