ward,precip
1,6.54310344828
2,8.27380952381
3,7.44090909091
4,8.29702970297
5,10.1047619048
6,4.98695652174
7,7.59459459459
8,6.76751592357
9,3.40909090909
10,2.37367303609
11,2.55833333333
12,3.98198198198
13,1.18439716312
14,0.0905797101449
15,2.44029850746
16,5.45794392523
17,9.60317460317
18,1.1359223301
19,4.8137254902
20,3.4625
21,6.07947019868
22,1.52912621359
23,3.06358381503
24,2.5198019802
25,5.15625
26,1.97058823529
27,4.23684210526
28,2.3606557377
29,3.13043478261
30,3.58461538462
31,-0.0434782608696
32,4.00757575758
33,1.67105263158
34,3.23316062176
35,4.24444444444
36,2.47333333333
37,3.0
38,1.76296296296
39,1.36708860759
40,5.45
41,0.113832853026
42,11.125
43,9.73958333333
44,3.18918918919
45,1.68823529412
46,2.19642857143
47,3.51724137931
48,7.76
49,6.625
50,7.24137931034
