ward,precip
1,6.79838709677
2,9.27777777778
3,10.889380531
4,10.6146788991
5,12.6712962963
6,11.4556451613
7,9.39130434783
8,9.86875
9,9.37313432836
10,10.5625
11,8.92222222222
12,4.74778761062
13,0.65
14,2.53125
15,7.71428571429
16,9.5045045045
17,9.952
18,5.53051643192
19,7.52661596958
20,11.6203007519
21,9.93506493506
22,2.26442307692
23,1.16352201258
24,6.7476635514
25,9.84051724138
26,5.30833333333
27,7.02884615385
28,7.02651515152
29,2.84677419355
30,1.54615384615
31,3.21929824561
32,4.22
33,3.04901960784
34,7.17857142857
35,3.56481481481
36,0.394736842105
37,6.79032258065
38,-2.125
39,1.53435114504
40,4.02
41,-1.88805970149
42,17.7333333333
43,7.90566037736
44,7.40243902439
45,1.46534653465
46,5.8375
47,5.20833333333
48,5.71212121212
49,5.40277777778
50,4.19491525424
