ward,precip
1,6.875
2,7.78888888889
3,6.04782608696
4,7.41743119266
5,7.24537037037
6,7.09756097561
7,8.58771929825
8,7.67391304348
9,7.76503759398
10,7.55078125
11,5.09398496241
12,7.62931034483
13,8.31972789116
14,7.59677419355
15,7.61267605634
16,7.625
17,7.66101694915
18,7.02036199095
19,8.75660377358
20,6.76691729323
21,7.60526315789
22,7.65086206897
23,7.68611111111
24,7.64150943396
25,7.33189655172
26,7.34920634921
27,6.79220779221
28,7.37686567164
29,7.60384615385
30,8.36764705882
31,8.13076923077
32,7.02739726027
33,7.89830508475
34,8.5396039604
35,8.91346153846
36,9.09638554217
37,7.92021276596
38,8.46666666667
39,9.0724137931
40,9.48026315789
41,8.22383073497
42,11.5
43,8.27777777778
44,7.4625
45,7.68468468468
46,9.5375
47,9.14864864865
48,9.04285714286
49,10.7432432432
50,10.1328125
