ward,precip
1,6.5625
2,7.34444444444
3,7.22368421053
4,8.03571428571
5,8.82407407407
6,6.89583333333
7,8.93362831858
8,7.315625
9,7.67164179104
10,7.46176470588
11,6.29323308271
12,6.75675675676
13,7.77397260274
14,7.3431372549
15,8.79285714286
16,7.3
17,7.264
18,7.18181818182
19,6.52480916031
20,5.82954545455
21,7.42763157895
22,7.63247863248
23,7.63966480447
24,7.4858490566
25,6.50854700855
26,8.60483870968
27,6.29
28,6.53816793893
29,7.69615384615
30,9.68656716418
31,8.14615384615
32,8.0472972973
33,10.1120689655
34,7.91919191919
35,9.58653846154
36,8.83928571429
37,7.78723404255
38,8.48787878788
39,10.2655172414
40,10.0519480519
41,8.41479820628
42,15.0
43,7.51851851852
44,8.96341463415
45,10.2454545455
46,9.525
47,9.34931506849
48,10.7878787879
49,11.4864864865
50,9.359375
