ward,precip
1,0.113636363636
2,4.47916666667
3,2.27941176471
4,5.41358024691
5,3.01923076923
6,6.13596491228
7,3.70161290323
8,4.54471544715
9,-0.821875
10,-1.5641025641
11,-0.845454545455
12,-1.21052631579
13,1.52255639098
14,0.0154639175258
15,1.30327868852
16,5.66292134831
17,7.86776859504
18,4.25118483412
19,-1.83116883117
20,2.5
21,-0.488372093023
22,0.0159574468085
23,-1.16770186335
24,-0.844262295082
25,0.171875
26,-2.40625
27,1.32317073171
28,-0.33064516129
29,-0.718309859155
30,-1.390625
31,-4.02173913043
32,-1.25
33,-0.944444444444
34,-0.454861111111
35,3.07317073171
36,-1.5
37,-0.333333333333
38,-2.98529411765
39,2.30597014925
40,1.11428571429
41,-2.07068062827
42,11.8191489362
43,-0.666666666667
44,1.60869565217
45,3.47826086957
46,4.45238095238
47,-1.61538461538
48,-1.70588235294
49,2.7
50,1.95238095238
