ward,precip
1,3.32727272727
2,6.12820512821
3,6.70560747664
4,5.57798165138
5,8.32524271845
6,3.5593220339
7,5.02314814815
8,6.38141025641
9,2.9347826087
10,2.36063829787
11,5.91015625
12,5.04504504505
13,2.09583333333
14,1.73648648649
15,2.96825396825
16,7.57727272727
17,4.86290322581
18,3.06046511628
19,3.82251908397
20,8.37692307692
21,3.53691275168
22,2.18518518519
23,0.770833333333
24,4.55376344086
25,4.80555555556
26,2.77358490566
27,5.87583892617
28,4.85546875
29,4.42660550459
30,2.08490566038
31,5.2641509434
32,6.14
33,6.30357142857
34,2.83421052632
35,6.05
36,2.61643835616
37,4.35526315789
38,2.23026315789
39,4.2032967033
40,4.61607142857
41,1.10136986301
42,11.0892857143
43,7.28409090909
44,4.32
45,2.91666666667
46,5.97297297297
47,6.875
48,3.65217391304
49,1.81481481481
50,3.13636363636
